time	V(n003)*10	V(n009)*10
8.685000000042530e-06	5.707775e-22	-2.915241e-07
8.705000000042628e-06	-1.046773e-22	-2.915241e-07
8.725000000042726e-06	-1.708893e-22	-2.915241e-07
8.745000000042824e-06	-2.238568e-22	-2.915241e-07
8.765000000042922e-06	-1.841134e-22	-2.915241e-07
8.785000000043021e-06	-2.238366e-22	-2.915241e-07
8.805000000043119e-06	-2.105820e-22	-2.915241e-07
8.825000000043217e-06	-2.238163e-22	-2.915241e-07
8.845000000043315e-06	-2.238062e-22	-2.915241e-07
8.865000000043413e-06	-1.840628e-22	-2.915241e-07
8.885000000043511e-06	6.300514e-20	-2.915241e-07
8.905000000043609e-06	7.834209e-20	-2.915241e-07
8.925000000043707e-06	1.097976e-19	-2.915241e-07
8.945000000043805e-06	9.994369e-20	-2.915241e-07
8.965000000043903e-06	-5.496022e-19	-2.915241e-07
8.985000000044001e-06	6.331376e-19	-2.915241e-07
9.005000000044099e-06	-4.634738e-19	-2.915241e-07
9.025000000044197e-06	-5.468502e-21	-2.915241e-07
9.045000000044295e-06	8.317648e-20	-2.915241e-07
9.065000000044393e-06	8.560011e-20	-2.915241e-07
9.085000000044492e-06	1.103143e-19	-2.915241e-07
9.105000000044590e-06	9.949346e-20	-2.915241e-07
9.125000000044688e-06	-5.497080e-19	-2.915241e-07
9.145000000044786e-06	6.331377e-19	-2.915241e-07
9.165000000044884e-06	-4.635267e-19	-2.915241e-07
9.185000000044982e-06	-5.468420e-21	-2.915241e-07
9.205000000045080e-06	8.317656e-20	-2.915241e-07
9.225000000045178e-06	8.562668e-20	-2.915241e-07
9.245000000045276e-06	1.103143e-19	-2.915241e-07
9.265000000045374e-06	9.946706e-20	-2.915241e-07
9.285000000045472e-06	-5.497080e-19	-2.915241e-07
9.305000000045570e-06	1.851718e-19	-2.915241e-07
9.325000000045668e-06	1.686174e-20	-2.915241e-07
9.345000000045766e-06	1.299555e-21	-2.915241e-07
9.365000000045864e-06	-6.461065e-23	-2.915241e-07
9.385000000045962e-06	-1.838004e-22	-2.915241e-07
9.405000000046061e-06	-2.235237e-22	-2.915241e-07
9.425000000046159e-06	-2.235137e-22	-2.915241e-07
9.445000000046257e-06	-2.632369e-22	-2.915241e-07
9.465000000046355e-06	-2.367381e-22	-2.915241e-07
9.485000000046453e-06	-2.102393e-22	-2.915241e-07
9.505000000046551e-06	-2.234737e-22	-2.915241e-07
9.525000000046649e-06	6.300547e-20	-2.915241e-07
9.545000000046747e-06	7.834241e-20	-2.915241e-07
9.565000000046845e-06	1.097582e-19	-2.915241e-07
9.585000000046943e-06	9.994402e-20	-2.915241e-07
